
Número	Característica
1	El sistema le da la bienvenida al usuario
2	El sistema pide la edad al usuario
3	El sistema pide el peso del usuario
4	El sistema pide la altura del usuario
5	El sistema pide el género del usuario
6	El sistema pide el nivel de actividad física del usuario (bajo, medio, alto)
7	El sistema valida los datos
8	El sistema realiza el cálculo de IMC del individuo (peso/altura^2)
9	El sistema determina el objetivo según el IMC
10	Si el IMC < 18.5 define que el objetivo del usuario es subir de peso
11	Si el IMC < 25 pero >18.5 define que el objetivo del usuario es mantener el peso
12	Si el IMC > 25 define que el objetivo del usuario es bajar de peso
13	El sistema calcula la ingesta calórica del usuario según su nivel de actividad y el objetivo
14	El sistema calcula una dieta balanceada para que el usuario cumpla sus objetivos
15	El sistema le imprime al usuario su IMC
16	El sistema le imprime al usuario cuál es su objetivo
17	El sistema le imprime al usuario cuantas calorías debe consumir a diario para cumplir su objetivo
18	El sistema le imprime al usuario un plan nutricional que debe seguir para cumplir su objetivo
19	El sistema le hace un seguimiento al usuario
20	El sistema finaliza su seguimiento cuando el usuario cumpla sus objetivos

Aplicación	Descripción perfil /características
IMC = 24.1, el usuario debe mantener el peso, el sistema le entrega al usuario un plan nutricional con una ingesta calórica para mantener su peso ideal	Hombre, 87kg,190cm, 23, medio
IMC 22.4, el usuario debe mantener el peso, el sistema le entrega al usuario un plan nutricional con una ingesta calórica para mantener su peso ideal	Mujer, 58kg, 161cm, 19, bajo
